easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
1669591.43775701,5393652.98328208,1000,0.5,CSSR,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1634266.77547877,5343423.40495086,1000,0.5,SM1F,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1294402.9247768,5043728.68855475,326,0.5,089A,3,398.11197,0.53134197,10,361.86108,0.53872114,11
1294392.89087159,5043735.85746378,330,0.5,WNPS,3,398.11197,0.53134197,9,495.74252,0.7043546,11
1573082.18330396,5196278.56204492,210.64896,0.200000002980232,NA,NA,260.63278,0.5950514,15,220.0589,0.4556925,10
1623714.86480283,5431110.69921557,335,0.5,046A,3,261.68674,0.5950514,16,218.11823,0.39540365,10
1780138.19466134,5449779.62888258,506,0.5,123A,3,269.4984,0.5950514,11,691.41766,0.7239429,10
1600994.17096339,5449011.73913093,210,0.5,257A,3,258.3832,0.5950514,16,218.11823,0.39540365,10
1763856.72842675,5436556.79101321,600,0.5,465A,3,269.76874,0.5950514,10,361.86108,0.53872114,10
1763856.72842675,5436556.79101321,600,0.5,465B,3,269.76874,0.5950514,10,361.86108,0.53872114,10
1763894.04650739,5437077.98701552,190,0.1,468A,1,266.16132,0.5950514,16,218.11823,0.39540365,10
1761681.55187893,5438327.37140148,800,0.5,602C,3,274.13568,0.5950514,9,495.74252,0.7043546,10
1755902.42499607,5434739.40803771,800,0.5,603B,3,275,0.5950514,9,495.74252,0.7043546,10
1761252.04732196,5436737.33232419,330,0.2,651A,2,261.68674,0.5950514,15,220.0589,0.4556925,10
1755320.27424381,5444185.58429601,570,0.5,705B,3,269.28812,0.5950514,11,691.41766,0.7239429,10
1755277.30969233,5444153.44894031,570,0.5,707A,3,269.28812,0.5950514,9,495.74252,0.7043546,10
1610744.01727391,5418024.5687571,500,0.5,BTWS,3,264.69595,0.5950514,14,302.07278,0.53168344,10
1763856.72842675,5436556.79101321,300,0.5,DAVS,3,269.76874,0.5950514,10,361.86108,0.53872114,10
1770864.98748566,5443714.86563233,500,0.5,HIBS,3,262.07254,0.5950514,15,220.0589,0.4556925,10
1761531.51462303,5436698.51826093,330,0.2,LNBS,2,260.8229,0.5950514,14,302.07278,0.53168344,10
1759597.72162893,5434025.08085591,256,0.1,LRSS,1,254.2112,0.5950514,15,220.0589,0.4556925,10
1197850.11019564,5040802.28654351,1500,0.5,MSZ,3,272.6435,0.5950514,255,NA,NA,10
1197780.18275562,5040833.23026981,600,0.5,MSZS,3,272.6435,0.5950514,255,NA,NA,10
1763814.32761846,5436948.42262935,190,0.1,NBSS,1,266.16132,0.5950514,14,302.07278,0.53168344,10
1755929.78229593,5434821.86925801,450,0.5,PTOS,3,275,0.5950514,5,736.6329,0.65327823,10
1303936.99727178,4839051.28634974,800,0.5,SYZ,3,271.52866,0.5950514,9,495.74252,0.7043546,10
1763954.66498335,5439376.20044904,510,0.1,TAIS,1,261.25446,0.5950514,15,220.0589,0.4556925,10
1775111.2470725,5447500.18351541,500,0.5,TOTS,3,273.66135,0.5950514,14,302.07278,0.53168344,10
1771321.66525775,5445157.62266797,390,0.1,UHCS,1,262.19586,0.5950514,15,220.0589,0.4556925,10
1773350.53372381,5445158.09407148,481,0.1,UHSS,1,262.807,0.5950514,14,302.07278,0.53168344,10
1569576.63684976,5175288.98086981,900,0.2,CRLZ,2,405.4836,0.5624408,7,769.95667,0.7053239,8
1576539.76302159,5174756.42508602,348,0.1,HVSC,1,405.4836,0.5624408,6,491.11566,0.68166685,8
1578407.00292057,5177189.85616156,433,0.5,RCBS,3,405.4836,0.5624408,7,769.95667,0.7053239,8
1571374.74890764,5175474.52581289,233.53943,0.200000002980232,NA,NA,387.9002,0.68287367,5,736.6329,0.65327823,7
1568008.95227042,5172784.91892009,166.75334,0.200000002980232,NA,NA,387.9002,0.68287367,9,495.74252,0.7043546,7
1567984.96250238,5172768.92388714,169.70062,0.200000002980232,NA,NA,387.9002,0.68287367,6,491.11566,0.68166685,7
1785647.90645369,5394870.85042552,511,0.5,040A,3,387.9002,0.68287367,5,736.6329,0.65327823,7
1483084.96425151,5243927.93336742,300,0.2,505A,2,275,0.5950514,10,361.86108,0.53872114,7
1597063.21836957,5149128.0533431,435,0.1,AKSS,1,387.9002,0.68287367,9,495.74252,0.7043546,7
1483160.84234804,5243859.30855798,300,0.2,APPS,2,275,0.5950514,14,302.07278,0.53168344,7
1407021.2675535,4918216.76303955,600,0.5,DGNS,3,387.9002,0.68287367,13,255.27419,0.65902555,7
1426205.68126112,5114877.39373626,301,0.5,FDCS,3,387.9002,0.68287367,16,218.11823,0.39540365,7
1621287.90142625,5340418.42971767,600,0.5,MOLS,3,387.9002,0.68287367,5,736.6329,0.65327823,7
1786202.74720221,5393437.51718279,600,0.5,NWFS,3,387.9002,0.68287367,6,491.11566,0.68166685,7
1762053.43964359,5431795.01635884,190,0.2,PRKS,2,387.9002,0.68287367,13,255.27419,0.65902555,7
1112189.73785137,4868036.58773424,1000,0.5,PYZ,3,1068.298,0.6903283,3,934.96515,0.6438865,7
1443222.87077129,5157983.92249117,1000,0.5,RPZ,3,387.9002,0.68287367,6,491.11566,0.68166685,7
1299479.10019963,5153011.48102287,800,0.5,LMZ,3,387.9002,0.68287367,10,361.86108,0.53872114,7
1576480.11040564,5207643.26943023,224.85387,0.200000002980232,NA,NA,211.89963,0.39401674,16,218.11823,0.39540365,6
1577001.15247628,5207261.89818414,205.06209,0.200000002980232,NA,NA,217.67502,0.39401674,16,218.11823,0.39540365,6
1576829.95183842,5206767.58601935,220.53214,0.200000002980232,NA,NA,217.4745,0.39401674,16,218.11823,0.39540365,6
1575746.55678221,5204782.3478861,199.89568,0.200000002980232,NA,NA,210.48042,0.39401674,16,218.11823,0.39540365,6
1575661.82952855,5204392.99453929,200.48517,0.200000002980232,NA,NA,216.96404,0.39401674,16,218.11823,0.39540365,6
