easting,northing
1785737.13955774,5395072.83377425
1577200.36122654,5184127.95976511
1631809.16021275,5437072.68745741
1936784.14675469,5621565.26159221
1786202.74720221,5393437.51718279
1413603.71883911,4915994.89806367
1522028.71923422,5202544.39980102
1579869.49089227,5176087.79552046
1757530.02175166,5434617.1094377
1749605.65599732,5430010.42431875
1754366.85360972,5445026.91254624
1748637.57650758,5429504.89386967
1568217.81241433,5184377.93104094
1762053.43964359,5431795.01635884
1574364.65763257,5180742.87950496
1755929.78229593,5434821.86925801
2061275.52828653,5773176.16049267
1757066.44314386,5434600.42574321
1929559.82685889,5561798.19316084
1929568.23483428,5561691.31316035
1112189.73785137,4868036.58773424
1560296.00718345,5480504.54701378
1578407.00292057,5177189.85616156
1570514.38714888,5181156.69008769
1580372.1375789,5175699.51509769
1564805.81635674,5179549.37843033
1521355.3617328,5155267.59463953
1550041.16168885,5173164.15625987
1443222.87077129,5157983.92249117
1749127.93534164,5426794.65594586
1946599.8686034,5718376.38476494
1753785.98822683,5423374.41751353
1119892.67902006,4974315.07231155
1572789.46937932,5183010.90251931
1406821.82424271,4914200.28816655
1544985.04425888,5163982.56862013
1568766.12170711,5187192.33573973
1756241.5363005,5430984.42666602
1571343.72479735,5171765.06448077
1559114.98923837,5198035.17600491
1303936.99727178,4839051.28634974
1186821.64296867,4957179.69695137
1763954.66498335,5439376.20044904
1878298.75559403,5822479.28476558
1706999.76134572,5437104.73287884
1749133.80125538,5427454.22772121
1749334.47258227,5429133.8676537
1592120.79058109,5376591.1199437
1853854.77584418,5738144.47621347
1781067.72554383,5450336.41833688
1775111.2470725,5447500.18351541
1820473.2300089,5821088.44761476
1557345.71297321,5177970.77580421
1866814.90816465,5713564.59382015
1852563.86346579,5561541.82062562
1771321.66525775,5445157.62266797
1773350.53372381,5445158.09407148
1959724.3521235,5757421.24784026
1748934.61604341,5428650.58471672
1761836.56634299,5433778.22096346
