Station,Latitude,Longitude,Elevation,NZS1170SiteClass,Vs30,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,District
SEAS,-41.326447,174.837638,29,C,305,0.011,Q1,Stolte et al. 2021 unpublished,0.3,0.2,Q2,I,Manea et al. 2021 unpublished,53,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
SHLC,-43.50533676,172.6633911,298,D,201,0.05,Q1,Wotherspoon et al. 2015,4.96,0.1,Q1,I,Stolte et al. 2021,675,0.3,Q3,0,NZVM (2021),2475,0.3,Q3,NZVM (2021),0,0,0,Canterbury
SLRC,-43.67513,172.31752,194,D,327,0.0793,Q1,Deschenes et al. (2018),4.9,0.1,Q1,I,Stolte et al. 2021,590,0,Q2,0,Deschenes et al. (2018),1825,0.3,Q3,NZVM (2021),0,0,0,Canterbury
SMTC,-43.4675293,172.6138611,86,D,219,0.05,Q1,Wotherspoon et al. 2015,6.34,0.1,Q1,Ma,Stolte et al. 2021,695,0.3,Q3,0,NZVM (2021),3375,0.3,Q3,NZVM (2021),0,0,0,Canterbury
SWNC,-43.36943258,172.4953554,296,D,546,0.043,Q1,Deschenes et al. (2018),6.68,0.1,Q1,I,Stolte et al. 2021,287,0,Q2,0,Deschenes et al. (2018),3825,0.3,Q3,NZVM (2021),0,0,0,Canterbury
TAIS,-41.18038403,174.9547719,427,D,510,0.52,Q1,Stolte et al. 2021 unpublished,0.69,0.1,Q1,Mw,Stolte et al. 2021 unpublished,42,0.686,Q2,1,Stolte et al. (2021) unpublished,275,0.3,Q3,NZVM (2021),0,0,0,Wellington
TBCS,-37.70269658,176.1566748,6,D,209,0.039,Q1,Stolte et al. 2021 unpublished,1.15,0.12,Q2,I,Stolte et al. 2021 unpublished,141,0.229,Q2,1,Stolte et al. 2021 unpublished,775,0.5,Q3,NZVM (2021),0,0,0,South Auckland
TEPS,-41.29058776,174.7810642,323,D,292,0.15,Q1,Vantassel & Cox 2018,0.99,0.1,Q1,Ms,Kaiser et al 2019,103,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
TFSS,-41.27542742,174.7830542,21,D,271,0.01,Q1,Site Investigations (2023),1.73,0.2,Q2,Mw,Kaiser et al 2019,157,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
TPLC,-43.54999716,172.4719542,278,D,398,0.112,Q1,Deschenes et al. (2018),5.46,0.1,Q1,I,Stolte et al. 2021,787,0,Q2,0,Deschenes et al. (2018),1475,0.3,Q3,NZVM (2021),0,0,0,Canterbury
UHCS,-41.12681462,175.0409381,3,D,390,0.025,Q1,Stolte et al. 2021 unpublished,2,0.2,Q2,Mw,Unpub HVSR (Van Houtte),136,0.295,Q2,0,Stolte et al. (2021) unpublished,325,0.3,Q3,NZVM (2021),0,0,0,Wellington
UHSS,-41.12638,175.06509,19,D,481,0.027,Q1,Stolte et al. 2021 unpublished,0.9,0.13,Q2,Mw,Stolte et al. 2021 unpublished,104,0.177,Q2,1,Stolte et al. (2021) unpublished,325,0.3,Q3,NZVM (2021),0,0,0,Wellington
VUWS,-41.279854,174.778399,945,D,286,0.098,Q1,Vantassel & Cox 2018,0.87,0.2,Q2,Mw,Kaiser et al. 2019,70,0.32,Q2,1,Vantassel & Cox (2018),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
