Station,easting,northing,Vs30,Std,q
CPT_109_measurement_num_0,1572911.71,5181581.84,173.73,,5
CPT_11001_measurement_num_0,1576747.14,5184212.43,185.28,,5
CPT_11012_measurement_num_0,1575564.03,5182040.8,183.69,,5
CPT_110139_measurement_num_0,1571530,5182236,149.82,,5
CPT_110140_measurement_num_0,1571561,5182227,144.3,,5
CPT_1101_measurement_num_0,1574118.03,5182185.98,156.37,,5
CPT_11023_measurement_num_0,1574651.88,5182305.72,175.42,,5
CPT_11027_measurement_num_0,1576280.41,5183867.22,180.85,,5
CPT_11033_measurement_num_0,1576802.56,5183572.85,167.82,,5
CPT_11034_measurement_num_0,1574640.35,5182310.52,171.15,,5
CPT_11035_measurement_num_0,1576755.78,5183210.14,181.15,,5
CPT_11037_measurement_num_0,1574563.46,5182149.78,176.92,,5
CPT_1103_measurement_num_0,1573900.35,5182314.86,181.94,,5
CPT_11040_measurement_num_0,1575053.72,5182056.44,167.49,,5
CPT_11043_measurement_num_0,1576954.69,5183239.55,174.7,,5
CPT_11044_measurement_num_0,1575183.25,5181951.12,172.11,,5
CPT_11045_measurement_num_0,1575795.5,5181784.7,173.53,,5
CPT_1104_measurement_num_0,1574131.27,5182348.13,156.45,,5
CPT_11053_measurement_num_0,1577609.4,5182554.81,180.06,,5
CPT_11058_measurement_num_0,1576901.3,5185022.75,191.73,,5
CPT_1105_measurement_num_0,1574347.38,5182392.82,156.49,,5
CPT_11060_measurement_num_0,1575328.88,5182212.07,180.12,,5
CPT_11063_measurement_num_0,1575056.63,5181423.17,173.86,,5
CPT_110697_measurement_num_0,1791620.78,5827155.62,230.36,,5
CPT_11069_measurement_num_0,1575162,5181324.9,177.22,,5
CPT_110701_measurement_num_0,1791497.49,5827051.9,227.19,,5
CPT_110703_measurement_num_0,1791221.78,5827282.11,228.97,,5
CPT_11075_measurement_num_0,1570953,5178460,148.57,,5
CPT_11077_measurement_num_0,1570951,5178472,154.37,,5
CPT_11083_measurement_num_0,1579273.32,5178999.75,187.81,,5
CPT_110840_measurement_num_0,1572770.58,5179540.08,151.13,,5
CPT_110842_measurement_num_0,1572812.35,5179519.93,146.01,,5
CPT_11087_measurement_num_0,1574951.6,5181308.46,176.78,,5
CPT_110898_measurement_num_0,1764078,5907693,194.12,,5
CPT_1108_measurement_num_0,1574317.6,5182612.75,159.28,,5
CPT_110901_measurement_num_0,1764087,5907670,195.27,,5
CPT_110995_measurement_num_0,1892894.52,5809454.04,206.5,,5
CPT_110_measurement_num_0,1573171.14,5181557.65,161.99,,5
CPT_1110_measurement_num_0,1574183.27,5182817.31,162.08,,5
CPT_111114_measurement_num_0,1877642.3,5822039.6,189.54,,5
CPT_111115_measurement_num_0,1877630.2,5822048.6,192.26,,5
CPT_111120_measurement_num_0,1877314,5821896,166.26,,5
CPT_111122_measurement_num_0,1877308,5821876,164.88,,5
CPT_111133_measurement_num_0,1877512,5821895,199.65,,5
CPT_111134_measurement_num_0,1877522,5821882,174.63,,5
CPT_111135_measurement_num_0,1877513,5821880,185.84,,5
CPT_111136_measurement_num_0,1877528,5821876,189.63,,5
CPT_111137_measurement_num_0,1877529,5821842,162.21,,5
CPT_111138_measurement_num_0,1877540,5821849,185.64,,5
CPT_111140_measurement_num_0,1881435,5828613,240.58,,5
CPT_111141_measurement_num_0,1881406,5828624,246.21,,5
CPT_111142_measurement_num_0,1881414,5828575,238.86,,5
CPT_111143_measurement_num_0,1881468,5828581,237,,5
CPT_111144_measurement_num_0,1884252.7,5824194.68,193.3,,5
CPT_111145_measurement_num_0,1884270.62,5824176.28,193.98,,5
CPT_111146_measurement_num_0,1884300.64,5824227.48,187.97,,5
CPT_111147_measurement_num_0,1884270.07,5824262.98,197.58,,5
CPT_111148_measurement_num_0,1884280.12,5824221.52,198.45,,5
CPT_111149_measurement_num_0,1884380.46,5824134.72,196.78,,5
CPT_111150_measurement_num_0,1884443.89,5824104.75,200.82,,5
CPT_11117_measurement_num_0,1576549.79,5184859.11,175.91,,5
CPT_111180_measurement_num_0,1875268.17,5820743.56,149.12,,5
CPT_111184_measurement_num_0,1875594.54,5820895.99,205.72,,5
CPT_1111_measurement_num_0,1574302.26,5182746.64,156.65,,5
CPT_11122_measurement_num_0,1576281.19,5185649.2,179.7,,5
CPT_11124_measurement_num_0,1576845.91,5183784.73,173.82,,5
CPT_11126_measurement_num_0,1576224.51,5185671.21,184.03,,5
CPT_11129_measurement_num_0,1576952.12,5183278.35,159.46,,5
CPT_1112_measurement_num_0,1573808.27,5182922.92,162.54,,5
CPT_11131_measurement_num_0,1577140.19,5183031.27,182.99,,5
CPT_11135_measurement_num_0,1576959.92,5183783.08,174.7,,5
CPT_11139_measurement_num_0,1576877.88,5183880.1,179.6,,5
CPT_1113_measurement_num_0,1573998.8,5182857.69,157.48,,5
CPT_11145_measurement_num_0,1577219.77,5183154.03,180.78,,5
CPT_11149_measurement_num_0,1576864.22,5183510.2,168.51,,5
CPT_1114_measurement_num_0,1574304.42,5183000.16,181.41,,5
CPT_11154_measurement_num_0,1579014.4,5176376.9,172.04,,5
CPT_1115_measurement_num_0,1573319.65,5182003.01,171.2,,5
CPT_11163_measurement_num_0,1577561.67,5182731.87,200.74,,5
CPT_11169_measurement_num_0,1577472.82,5182855.9,202.1,,5
CPT_11171_measurement_num_0,1576491.21,5185075.21,150.02,,5
CPT_11174_measurement_num_0,1574870,5181269.19,172.56,,5
CPT_1117_measurement_num_0,1573527.21,5182478.35,161.92,,5
CPT_111817_measurement_num_0,1762180.04,5431407.85,152.5,,5
CPT_111818_measurement_num_0,1762163.92,5431435.32,154.03,,5
CPT_11182_measurement_num_0,1572273,5179452.5,161.86,,5
CPT_11189_measurement_num_0,1581356.4,5175527.4,163.31,,5
CPT_1118_measurement_num_0,1573713.36,5182733.94,163.05,,5
CPT_111985_measurement_num_0,1797929,5816556,191.07,,5
CPT_111986_measurement_num_0,1797847.29,5816729.87,196.54,,5
CPT_111989_measurement_num_0,1797443.91,5817269.49,250.95,,5
CPT_111992_measurement_num_0,1797070.53,5817444.23,219.32,,5
CPT_111993_measurement_num_0,1797063.31,5817496.54,186.39,,5
CPT_111994_measurement_num_0,1797002.73,5817644.82,129.06,,5
