wkt_geom,easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
Point (1752679.10079413000494242 5433883.58870973996818066),1752679.101,5433883.589,1000,0.5,NEWS,3,782.0686,0.6023249,7,769.95667,0.7053239,12
Point (2061275.52828652993775904 5773176.1604926697909832),2061275.528,5773176.16,1000,0.5,PUZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1929559.82685889001004398 5561798.19316084031015635),1929559.827,5561798.193,1000,0.5,PWZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1929568.23483428009785712 5561691.31316034961491823),1929568.235,5561691.313,1000,0.5,PXZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1946599.86860339995473623 5718376.38476493954658508),1946599.869,5718376.385,1000,0.5,RTZ,3,782.0686,0.6023249,7,769.95667,0.7053239,12
Point (1756241.53630049992352724 5430984.42666602041572332),1756241.536,5430984.427,1000,0.5,SOMS,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1781067.7255438300780952 5450336.41833688039332628),1781067.726,5450336.418,800,0.5,TMDS,3,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1761836.56634298991411924 5433778.22096346039324999),1761836.566,5433778.221,1000,0.5,WANS,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1881003.61906327004544437 5522481.38758185040205717),1881003.619,5522481.388,800,0.5,WBFS,3,782.0686,0.6023249,9,495.74252,0.7043546,12
Point (1749020.12058609002269804 5429267.00045727007091045),1749020.121,5429267,265,0.1,WEMS,1,270.504,0.5950514,15,220.0589,0.4556925,12
Point (1748645.57125232997350395 5426332.54486155975610018),1748645.571,5426332.545,493,0.1,WNHS,1,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1745879.54589280998334289 5428161.30923353042453527),1745879.546,5428161.309,369,0.1,WNKS,1,269.67847,0.5950514,11,691.41766,0.7239429,12
Point (1763891.79224990005604923 5947911.82177111972123384),1763891.792,5947911.822,800,0.5,ABAZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1863412.13579004001803696 5624444.88567775022238493),1863412.136,5624444.886,800,0.5,BHHZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1869646.33664399990811944 5466319.37819327041506767),1869646.337,5466319.378,1000,0.5,CPWZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1771641.1133702399674803 5908549.85879032965749502),1771641.113,5908549.859,1000,0.5,ETAZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1754273.17226851009763777 5920355.81147164013236761),1754273.172,5920355.811,800,0.5,HBAZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
Point (1761789.04765108996070921 5735640.29316181968897581),1761789.048,5735640.293,800,0.5,HIZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
Point (1751939.2319806800223887 5923488.67647511046379805),1751939.232,5923488.676,800,0.5,KAAZ,3,782.0686,0.6023249,7,769.95667,0.7053239,12
Point (1894643.94525539991445839 5630577.26329625025391579),1894643.945,5630577.263,800,0.5,KWHZ,3,782.0686,0.6023249,12,502.12625,0.6824076,12
Point (1769388.14005805994383991 5929096.61500628013163805),1769388.14,5929096.615,1000,0.5,MBAZ,3,782.0686,0.6023249,15,220.0589,0.4556925,12
Point (1714444.05575426993891597 5673951.04193784017115831),1714444.056,5673951.042,1000,0.5,MHEZ,3,782.0686,0.6023249,15,220.0589,0.4556925,12
Point (2024097.44483676995150745 5654811.81926306989043951),2024097.445,5654811.819,1000,0.1,MHGZ,1,782.0686,0.6023249,11,691.41766,0.7239429,12
