wkt_geom,easting,northing,vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
Point (1751939.23198068211786449 5923488.67647510953247547),1751939.232,5923488.676,800,0.5,KAAZ,3,12,782.0686,0.6023249,7,769.95667,0.7053239
Point (1858833.93330190610140562 5807237.16203185729682446),1858833.933,5807237.162,467,0.5,KMRZ,3,15,1068.298,0.6903283,7,769.95667,0.7053239
Point (1894643.94525540340691805 5630577.26329625397920609),1894643.945,5630577.263,800,0.5,KWHZ,3,12,782.0686,0.6023249,12,502.12625,0.6824076
Point (1769388.14005805621854961 5929096.61500628106296062),1769388.14,5929096.615,1000,0.5,MBAZ,3,12,782.0686,0.6023249,15,220.0589,0.4556925
Point (1714444.05575427319854498 5673951.04193783551454544),1714444.056,5673951.042,1000,0.5,MHEZ,3,12,782.0686,0.6023249,15,220.0589,0.4556925
Point (2024097.44483677064999938 5654811.81926307361572981),2024097.445,5654811.819,1000,0.1,MHGZ,1,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1792041.78518857154995203 5891390.53977446816861629),1792041.785,5891390.54,800,0.2,MKAZ,2,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1757230.32862792816013098 5736718.9826654028147459),1757230.329,5736718.983,800,0.2,MOZ,2,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1929212.35136908339336514 5665551.02988400030881166),1929212.351,5665551.03,800,0.5,NMHZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (2038626.90918955416418612 5713758.49500746093690395),2038626.909,5713758.495,1000,0.5,NOZ,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1831413.60343641694635153 5668885.40104083716869354),1831413.603,5668885.401,1000,0.5,NTVZ,3,15,1068.298,0.6903283,11,691.41766,0.7239429
Point (1783037.04892006795853376 5479325.41108841728419065),1783037.049,5479325.411,1000,0.5,OGWZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1771390.78367878054268658 5909009.66590668633580208),1771390.784,5909009.666,800,0.5,OTAZ,3,12,782.0686,0.6023249,7,769.95667,0.7053239
Point (1654252.42313600773923099 6102431.11246214341372252),1654252.423,6102431.112,1000,0.5,OUZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1834933.97260201210156083 5525085.29404889140278101),1834933.973,5525085.294,800,0.5,POWZ,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (2023421.34264763514511287 5680461.59334034845232964),2023421.343,5680461.593,1000,0.5,PRGZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1985123.85312013886868954 5729947.46009295061230659),1985123.853,5729947.46,800,0.5,RAGZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1954297.4383159892167896 5684583.57944060955196619),1954297.438,5684583.579,800,0.5,RAHZ,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1587580.6899856033269316 6179072.60588744096457958),1587580.69,6179072.606,1000,0.5,TIKO,3,12,782.0686,0.6023249,11,691.41766,0.7239429
